"userid","sessionid","productname","pagetype","clicktime","referrer","productprice"
9231,1,"television","home",2009-08-01 17:17:59,"bestbuy",500
1231,1,"appliances","home",2009-07-04 09:17:59,"ge",1500
1039,1,"sneakers","home",2009-07-29 20:17:59,"nike",100
1199,1,"envelopes","home",2009-03-19 01:17:59,"staples",10
9231,2,"sneakers","home",2009-05-31 05:17:59,"nike",100
1231,1,"appliances","home1",2009-07-04 09:18:17,"ge",1500
1039,2,"books","home",2009-04-21 13:17:59,"barnesnoble",300
1199,1,"envelopes","home1",2009-03-19 01:18:08,"staples",10
9231,3,"envelopes","home",2009-08-08 02:17:59,"staples",10
1231,1,"appliances","page1",2009-07-04 09:18:20,"ge",1500
1039,3,"television","home",2009-05-23 13:17:59,"bestbuy",500
1199,1,"envelopes","page1",2009-03-19 01:18:09,"staples",10
9231,3,"envelopes","home1",2009-08-08 02:18:12,"staples",10
1231,1,"appliances","checkout",2009-07-06 13:00:20,"ge",1500
1039,4,"envelopes","home",2009-07-16 11:17:59,"staples",10
1199,1,"envelopes","home",2009-03-19 16:43:09,"staples",10
9231,3,"envelopes","page1",2009-08-08 02:18:15,"staples",10
1231,1,"appliances","home",2009-07-06 19:20:20,"ge",1500
1039,4,"envelopes","home1",2009-07-16 11:18:16,"staples",10
1199,1,"envelopes","home1",2009-03-19 16:43:26,"staples",10
9231,3,"envelopes","home",2009-08-11 00:01:15,"staples",10
1231,1,"appliances","home",2009-07-08 18:14:20,"ge",1500
1039,4,"envelopes","page1",2009-07-16 11:18:18,"staples",10
1199,1,"envelopes","page1",2009-03-19 16:43:27,"staples",10
9231,3,"envelopes","home1",2009-08-11 00:01:24,"staples",10
1231,2,"laptops","home",2009-04-27 01:17:59,"dell",800
1039,5,"bookcases","home",2009-08-19 22:17:59,"ikea",150
1199,2,"tables","home",2009-03-09 21:17:59,"ikea",250
9231,3,"envelopes","page1",2009-08-11 00:01:27,"staples",10
1040,1,"tables","home",2009-07-29 20:17:59,"ikea",250
1039,5,"bookcases","home1",2009-08-19 22:18:02,"ikea",150
1199,3,"cellphones","home",2009-08-15 12:17:59,"samsung",600
1263,1,"television","home",2009-08-14 02:17:59,"bestbuy",500
1040,2,"appliances","home",2009-04-21 13:17:59,"ge",1500
1039,5,"bookcases","page1",2009-08-19 22:18:05,"ikea",150
1071,1,"tables","home",2009-06-15 18:17:59,"ikea",250
1263,2,"envelopes","home",2009-08-13 13:17:59,"staples",10
1040,3,"laptops","home",2009-05-23 13:17:59,"dell",800
1039,5,"bookcases","page2",2009-08-22 04:20:05,"ikea",150
1071,2,"appliances","home",2009-05-25 00:17:59,"ge",1500
1263,3,"bookcases","home",2009-03-24 01:17:59,"ikea",150
1040,4,"chairs","home",2009-07-16 11:17:59,"staples",400
1039,5,"bookcases","checkout",2009-08-24 14:30:05,"ikea",150
1071,3,"chairs","home",2009-04-28 01:17:59,"staples",400
1263,4,"tables","home",2009-02-09 15:17:59,"ikea",250
1040,4,"chairs","home1",2009-07-16 11:18:16,"staples",400
1039,5,"bookcases","page2",2009-08-27 23:03:05,"ikea",150
1071,4,"cellphones","home",2009-03-13 17:17:59,"samsung",600
1263,5,"appliances","home",2009-07-30 11:17:59,"ge",1500
1040,4,"chairs","page1",2009-07-16 11:18:18,"staples",400
1103,1,"sneakers","home",2009-05-11 22:17:59,"nike",100
1045,1,"sneakers","home",2009-07-29 20:17:59,"nike",100
1040,5,"cellphones","home",2009-08-19 22:17:59,"samsung",600
1103,2,"television","home",2009-08-03 01:17:59,"bestbuy",500
1045,2,"books","home",2009-04-21 13:17:59,"barnesnoble",300
1040,5,"cellphones","home1",2009-08-19 22:18:02,"samsung",600
1135,1,"appliances","home",2009-08-23 08:17:59,"ge",1500
1045,3,"television","home",2009-05-23 13:17:59,"bestbuy",500
1040,5,"cellphones","page1",2009-08-19 22:18:05,"samsung",600
1135,2,"laptops","home",2009-04-23 20:17:59,"dell",800
1045,4,"envelopes","home",2009-07-16 11:17:59,"staples",10
1040,5,"cellphones","page2",2009-08-22 04:20:05,"samsung",600
1135,3,"cellphones","home",2009-05-11 01:17:59,"samsung",600
1045,4,"envelopes","home1",2009-07-16 11:18:16,"staples",10
1040,5,"cellphones","checkout",2009-08-24 14:30:05,"samsung",600
1135,4,"television","home",2009-06-26 12:17:59,"bestbuy",500
1045,4,"envelopes","page1",2009-07-16 11:18:18,"staples",10
1040,5,"cellphones","page2",2009-08-27 23:03:05,"samsung",600
1167,1,"books","home",2009-07-16 14:17:59,"barnesnoble",300
1045,5,"bookcases","home",2009-08-19 22:17:59,"ikea",150
1167,2,"bookcases","home",2009-07-24 04:17:59,"ikea",150
1045,5,"bookcases","home1",2009-08-19 22:18:02,"ikea",150
1167,2,"bookcases","home1",2009-07-24 04:18:10,"ikea",150
1045,5,"bookcases","page1",2009-08-19 22:18:05,"ikea",150
1167,2,"bookcases","page1",2009-07-24 04:18:12,"ikea",150
1045,5,"bookcases","page2",2009-08-22 04:20:05,"ikea",150
1167,2,"bookcases","checkout",2009-07-27 06:10:12,"ikea",150
1045,5,"bookcases","checkout",2009-08-24 14:30:05,"ikea",150
1167,2,"bookcases","checkout",2009-07-30 02:20:12,"ikea",150
1045,5,"bookcases","page2",2009-08-27 23:03:05,"ikea",150
1167,3,"laptops","home",2009-05-21 08:17:59,"dell",800
