"sid","id","start_time_column","end_time_column","expenditure","income","investment"
1,1,1967-06-30,2007-03-31,415,451,180
1,2,1967-06-30,2007-03-31,421,465,179
1,3,1967-06-30,2007-03-31,434,485,185
1,4,1967-06-30,2007-03-31,448,493,192
1,5,1967-06-30,2007-03-31,459,509,211
1,6,1967-06-30,2007-03-31,458,520,202
1,7,1967-06-30,2007-03-31,479,521,207
1,8,1967-06-30,2007-03-31,487,540,214
1,9,1967-06-30,2007-03-31,497,548,231
1,10,1967-06-30,2007-03-31,510,558,229
1,11,1967-06-30,2007-03-31,516,574,234
1,12,1967-06-30,2007-03-31,525,583,237
1,13,1967-06-30,2007-03-31,529,591,206
1,14,1967-06-30,2007-03-31,538,599,250
1,15,1967-06-30,2007-03-31,546,610,259
1,16,1967-06-30,2007-03-31,555,627,263
1,17,1967-06-30,2007-03-31,574,642,264
1,18,1967-06-30,2007-03-31,574,653,280
1,19,1967-06-30,2007-03-31,586,660,282
1,20,1967-06-30,2007-03-31,602,694,292
1,21,1967-06-30,2007-03-31,617,709,286
1,22,1967-06-30,2007-03-31,639,734,302
1,23,1967-06-30,2007-03-31,653,751,304
1,24,1967-06-30,2007-03-31,668,763,307
1,25,1967-06-30,2007-03-31,679,766,317
1,26,1967-06-30,2007-03-31,686,779,314
1,27,1967-06-30,2007-03-31,697,808,306
1,28,1967-06-30,2007-03-31,688,785,304
1,29,1967-06-30,2007-03-31,704,794,292
1,30,1967-06-30,2007-03-31,699,799,275
2,31,1967-06-30,2007-03-31,709,799,273
2,32,1967-06-30,2007-03-31,715,812,301
2,33,1967-06-30,2007-03-31,724,837,280
2,34,1967-06-30,2007-03-31,746,853,289
2,35,1967-06-30,2007-03-31,758,876,303
2,36,1967-06-30,2007-03-31,779,897,322
2,37,1967-06-30,2007-03-31,1774,2040,635
2,38,1967-06-30,2007-03-31,1807,2070,658
2,39,1967-06-30,2007-03-31,1831,2121,675
2,40,1967-06-30,2007-03-31,1842,2132,700
2,41,1967-06-30,2007-03-31,1890,2199,692
2,42,1967-06-30,2007-03-31,1958,2253,759
2,43,1967-06-30,2007-03-31,1948,2276,782
2,44,1967-06-30,2007-03-31,1994,2318,816
2,45,1967-06-30,2007-03-31,2061,2369,844
2,46,1967-06-30,2007-03-31,2056,2423,830
2,47,1967-06-30,2007-03-31,2102,2457,853
2,48,1967-06-30,2007-03-31,2121,2470,852
2,49,1967-06-30,2007-03-31,798,922,315
2,50,1967-06-30,2007-03-31,816,949,339
2,51,1967-06-30,2007-03-31,837,979,364
2,52,1967-06-30,2007-03-31,858,988,371
2,53,1967-06-30,2007-03-31,881,1025,375
2,54,1967-06-30,2007-03-31,905,1063,432
2,55,1967-06-30,2007-03-31,934,1104,453
2,56,1967-06-30,2007-03-31,968,1131,460
2,57,1967-06-30,2007-03-31,983,1137,475
2,58,1967-06-30,2007-03-31,1013,1178,496
2,59,1967-06-30,2007-03-31,1034,1211,494
2,60,1967-06-30,2007-03-31,1064,1256,498
